serial,chapter,NCERT,PYQs,Modules
1,Some Basic Concepts of Chemistry,false,false,false,false
2,Structure of Atom,false,false,false,false
3,Classification of Elements,false,false,false,false
4,Chemical Bonding,false,false,false,false
5,States of Matter,false,false,false,false
6,Thermodynamics,false,false,false,false
7,Equilibrium,false,false,false,false
8,Redox Reactions,false,false,false,false
9,Hydrogen,false,false,false,false
10,s-Block Elements,false,false,false,false
11,p-Block Elements,false,false,false,false
12,Organic Chemistry Basics,false,false,false,false
13,Hydrocarbons,false,false,false,false
14,Environmental Chemistry,false,false,false,false
15,Solid State,false,false,false,false
16,Solutions,false,false,false,false
17,Electrochemistry,false,false,false,false
18,Chemical Kinetics,false,false,false,false
19,Surface Chemistry,false,false,false,false
20,d and f Block Elements,false,false,false,false
21,Coordination Compounds,false,false,false,false
22,Haloalkanes and Haloarenes,false,false,false,false
23,Alcohols Phenols and Ethers,false,false,false,false
24,Aldehydes Ketones and Carboxylic Acids,false,false,false,false
25,Amines,false,false,false,false
26,Biomolecules,false,false,false,false
27,Polymers,false,false,false,false
28,Chemistry in Everyday Life,false,false,false,false
